Time,Velocity,km_Remaining,Lat,Long,Altd_m,SOC,SOC_Wh,Array_Power_W,Irradiance_W,Power_Usage_W
19/09/2015 1:18,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 1:19,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 1:20,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 1:21,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 1:22,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 1:23,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 1:24,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 1:25,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 1:26,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 1:27,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 1:28,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 1:29,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 1:30,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 1:31,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 1:32,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 1:33,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 1:34,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 1:35,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 1:36,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 1:37,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 1:38,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 1:39,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 1:40,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 1:41,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 1:42,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 1:43,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 1:44,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 1:45,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 1:46,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 1:47,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 1:48,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 1:49,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 1:50,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 1:51,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 1:52,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 1:53,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 1:54,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 1:55,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 1:56,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 1:57,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 1:58,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 1:59,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 2:00,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 2:01,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
19/09/2015 2:02,0,115.4311014,-27.39775,151.56172,379.5597607,35,1641.024,0,0,0
