Latitude,Longitude,Altitude (m)
-12.833010000,131.132790000,40.0
-12.833790000,131.133020000,38.0
-12.858810000,131.142110000,49.2
-12.860130000,131.142480000,53.8
-12.861380000,131.142630000,57.5
-12.862380000,131.142610000,59.0
-12.863410000,131.142490000,58.8
-12.870730000,131.140930000,58.9
-12.871930000,131.140770000,57.4
-12.873700000,131.140680000,52.9
-12.875800000,131.140790000,50.2
-12.887660000,131.142220000,52.3
-12.889090000,131.142200000,52.4
-12.890380000,131.141980000,54.0
-12.897410000,131.140150000,54.4
-12.899770000,131.139430000,53.4
-12.902720000,131.138650000,53.2
-12.903400000,131.138500000,52.8
-12.904460000,131.138370000,53.7
-12.905540000,131.138370000,55.6
-12.906380000,131.138470000,57.0
-12.907360000,131.138690000,57.4
-12.910010000,131.139450000,59.7
-12.911210000,131.139640000,60.4
-12.912440000,131.139670000,60.2
-12.913310000,131.139590000,60.0
-12.914020000,131.139450000,62.1
-12.914800000,131.139240000,66.3
-12.915460000,131.138990000,68.3
-12.916300000,131.138590000,69.9
-12.930720000,131.130770000,69.5
-12.931950000,131.130270000,71.3
-12.934550000,131.129430000,70.7
-12.936060000,131.128750000,74.2
-12.937480000,131.127930000,76.0
-12.942560000,131.124590000,75.1
-12.943500000,131.124040000,76.2
-12.944930000,131.123350000,76.0
-12.946350000,131.122820000,76.3
-12.948260000,131.122300000,82.6
-12.963810000,131.119150000,98.4
-12.964440000,131.118940000,98.1
-12.965370000,131.118510000,99.2
-12.967030000,131.117500000,99.1
-12.967820000,131.117080000,98.5
-12.968920000,131.116690000,96.2
-12.970180000,131.116410000,91.0
-12.971230000,131.116310000,86.7
-12.971760000,131.116320000,84.6
-12.977350000,131.116660000,86.3
-12.994830000,131.117870000,72.2
-12.996340000,131.117990000,71.4
-12.997590000,131.118180000,69.1
-12.999130000,131.118560000,67.2
-13.000730000,131.119190000,71.3
-13.006600000,131.122590000,72.8
-13.007730000,131.123020000,73.9
-13.008330000,131.123180000,70.4
-13.009180000,131.123310000,66.6
-13.010330000,131.123350000,61.7
-13.011390000,131.123240000,59.3
-13.012210000,131.123060000,57.4
